Course Name,Course Description
Derivatives Markets,"""This course introduces forwards, futures, options and related financial contracts, which are widely used for risk management in the form of standardized derivative securities, but also represent features that are found in common corporate securities, not typically thought of as derivatives. The course develops in depth a conceptual and analytical framework for understanding the pricing of these features, as well as strategies for managing risk. Covered topics include the following. Basic risk-management strategies using forward contracts, call and put options. Arbitrage relationship between spot prices and forward prices based on the role of dividends, cost of carry and convenience yields, with applications to securities lending, commodities and foreign exchange. An overview of futures markets: OTC markets versus exchanges, mark-to-market, margins, the role of clearinghouses. Statistical hedging with futures and the notion of basis risk. Introduction to swaps as a natural extension of forwards and futures. Fundamental option-pricing results such as put-call parity (including for hard-to-short stocks), general patterns in the optimal exercise of American options, and how the pricing of risk relates to the time horizon. Binomial pricing and hedging, and its limiting Black-Scholes model and associated hedging and market-making techniques. Overview of option pricing applications in corporate and other settings."""
International Finance,"""Managing a business exposed to global competition requires understanding some essential concepts in International Finance. The goal of the course is to provide you with an important set of skills that you can use every day in your management career. These skills include: valuing international businesses, comparing financing in different currencies, and managing risk.\r\n\r\nPedagogy: the course is designed to build practical skills. The evaluation is based on two group assignments and a series of short quizzes. Most quizzes can be retaken multiple times so that students can master the concepts discussed in the course."""
"Wall Street, Hedge Funds and Private Equity","""This course focuses on the activities of private equity (LBO) funds and hedge funds, their influence on corporate decision-making, and corporate measures that are taken to counter threats and exploit opportunities represented by these investors. Competition and cooperation among investment banks, private equity funds and hedge funds is also analyzed. The course also reviews innovative equity, debt and convertible transactions, including hedge fund investing and hedging strategies in relation to these securities. Guest speakers and case studies are a core part of the course."""
Macroeconomic Policy and Global Capital Markets,"""\u003cWhat drives economic growth in a globalized world?  This course focuses on the economic forces and the policy responses that are relevant for business and investment strategies.  Specific topics include the meaning and measures of national and international economic activity; what determines which emerging markets develop and grow, while others stagnate; what drives booms and recessions, how they are propagated globally, and how government policy responds; monetary policy and its effect on financial institutions and credit markets; government liabilities and how markets react to government debt; what determines trade deficits and surpluses, and the relative strength of a currency.  The course provides a high-level overview to aid business planning, investment strategies, and policy analysis.\r\n\r\nThis is a lecture and case-based course, with group projects and a final exam."""
Global Entrepreneurial Finance,"""\u003cp\u003eGlobal Entrepreneurial Finance is designed to intersect three areas of interest: \r\n\u003cblockquote\u003e(A) Entrepreneurial Finance and Private Equity including Entrepreneurial Buyouts \u003cbr /\u003e \r\n(B) Family and Closely-Held Firms \u003cbr /\u003e\r\n(C) International Finance with special emphasis on cross-border valuation and access to finance \u003c/blockquote\u003e\u003c/p\u003e\r\n\r\n\u003cp\u003eBy nature, this course is a finance course that deals with entrepreneurial, family, and closely-held firms in an international context including both developed and emerging market countries where institutions and property rights are weak. The core question behind the course is this: How do entrepreneurial managers, family firms, closely held firms and those who finance them design and execute transactions that effectively match opportunities and resources in an international context?\u003c/p\u003e\r\n\r\n\u003cp\u003eAn overreaching insight of this course is that the notions of risk and reward are as important in privately-held as in publicly held firms. In privately-held firms and closely-held firms, however, entrepreneurs and financiers are often forced to make assumptions based on incomplete data. The course will provide you with the tools necessary to value companies domiciled in countries around the world. The aim of the course is for students to understand the motivations, decision processes, transaction execution, and valuation consequences of financial, business, and organizational restructuring done by buyouts, family firms and closely-held firms in an international context. The course facilitates developing the ability to plan, evaluate, and execute transactions using financial modeling and quantitative techniques. \u003cem\u003eThe course does not deal with venture capital, early-stage financing or entrepreneurship concepts\u003c/em\u003e.\u003c/p\u003e\r\n\r\n\u003cp\u003e\u003cstrong\u003eTopics Covered Include\u003c/strong\u003e:\r\n\u003cblockquote\u003e- Valuing Cash Flows in an International Context: Cross-Border Valuation \u003cbr /\u003e\r\n- Assessment of Country Risk and Expropriation Risk. Legal Issues \u003cbr /\u003e\r\n- Capital Structure Decisions: Comparison of Different Sources of Capital \u003cbr /\u003e\r\n- Impact of Funding Sources on Performance: Private Placements and Rule 144a \u003cbr /\u003e\r\n- Private Equity Terms and Mechanics \u003cbr /\u003e\r\n- Contracting Problems and Deal Structures. Negotiating Deals \u003cbr /\u003e\r\n- Entrepreneurial Buyouts and Private Equity \u003cbr /\u003e\r\n- LBO Modeling and Valuation \u003cbr /\u003e\r\n- Real Options in International Settings \u003cbr /\u003e\r\n- Valuation of Subscription and Franchise Businesses \u003cbr /\u003e\r\n- Public vs. Private Equity: The Decision of Where to List a Stock \u003cbr /\u003e\r\n- The Importance of ADRs and GDRs: Capital Flight \u003cbr /\u003e\r\n- Valuation of Family Firms and Closely-Held Firms: Control Premium, Minority Discount and Illiquidity Discount \u003cbr /\u003e\r\n- Partnering with Public and Private Investors \u003cbr /\u003e\r\n- Control-Enhancement Mechanisms: The Role of Dual Class Shares and Pyramidal Ownership \u003c/blockquote\u003e\u003c/p\u003e\r\n\r\n\u003cp\u003e\u003cstrong\u003eWho Should Take This Course?\u003c/strong\u003e \u003cbr /\u003e\r\nGlobal Entrepreneurial Finance is aimed at students who plan to start a business at some point in their careers, students who plan to work for or finance an entrepreneurial firm, and/or students who plan to work for an established firm. All these aspects are developed in an international context framework where institutions play a he role in shaping financial decisions. The course is helpful not just for students who plan to work in international firms, but students who plan to work in their home countries can also learn a great deal by comparing and contrasting op"""
Financial Modeling for Private Equity Transactions,"""This course, which builds on the foundational skills of analyzing and forecasting parts of a business, teaches students how to weave their forecasts into coherent spreadsheet-based, pro-forma financials. The course starts with conceptual examples that explain linkages between the three core financial statements (IS/BS/CF), it then builds on these examples to forecast the financial statements of real companies. The main goal of this course is to illustrate how a practitioner would analyze a leveraged buyout. Students will construct their own LBO model in Excel and, by the end of the course, should feel comfortable assessing a company and determining if it is a viable LBO candidate. This class is very practical and hands-on, with a final group project and a final exam."""
Managing Firms for Shareholders and Society: Thought Leadership Seminar,"""This course will use a roundtable discussion format to facilitate an in-depth exploration of shareholder capitalism and its effects on society. Drawing on business and legal cases, academic research, and news articles from the popular press, we will begin by debating a central question in corporate governance: should creating value for shareholders be the firm\u0027s only objective? The class will explore major business and societal issues such as corporate decisions to lay off employees, gender diversity in corporate leadership, and growing inequality. Students will also lead discussions about topics they choose from the current events of the week. Class sessions consist almost entirely of class discussion with no lectures from the professor. Assignments include homework due before each class session, group work, and a final paper."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and wish to study some significant phase of finance in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and department are required."""
Independent Study,"""Independent Study"""
Time Series Analysis,"""The specification, estimation, and testing of dynamic models involving economic time series present a host of unique statistical problems requiring the use of specialized inference procedures. This course provides an overview of the most important of them. The focus will be on results most relevant for applications, with the various econometric techniques illustrated through problems in both macroeconomics and finance."""
Introduction to Econometrics,"""This course provides an introduction to graduate level econometrics. The first part of the course introduces basic probability and statistical tools that are essential for econometric analysis. The second part of the course covers basic econometric techniques for estimation and hypothesis testing, which are of direct use in various applications in economics and finance. The focus will be on results most relevant for practical applications rather than formal proofs of theorems, with the various econometric techniques illustrated through problems in both economics and finance."""
Asset Pricing I,"""A doctoral-level course that offers an in-depth introduction to competitive asset pricing theory: arbitrage pricing, equilibrium pricing and optimal consumption/portfolio choice. Models are developed for a finite information tree, but from an advanced perspective that motivates and builds intuition toward continuous-time modeling."""
Asset Pricing II,"""This course covers recent developments in asset pricing theory, placing emphasis on the link between financial markets and the real economy. The topics covered include: models of portfolio choice, general equilibrium models of risk and return, and models with financial frictions."""
Asset Pricing III,"""This course covers topics in the empirical asset pricing literature with an emphasis on recent developments. Topics include: Latent factor models; GMM theory and applications in finance; return predictability; performance evaluation; affine asset pricing models; Estimation of asset risk premia; estimation of volatility and jump risks from low/high frequency data; empirical derivatives pricing using parametric and nonparametric methods."""
Corporate Finance I,"""This course introduces students to theories of corporate financing and investment decisions; optimal financial contracting and security design; financial intermediation; and financial crises. Throughout we study the effects of incentive problems and asymmetric information."""
Corporate Finance II,"""This course provides a theoretical and empirical treatment of major topics in empirical corporate finance, including: investment decisions, capital structure, corporate governance, and law and finance."""
Corporate Finance III,"""This course provides a theoretical and empirical treatment of major topics in empirical corporate finance, including financial contracting; banking, securitization, and financial regulation: household finance and macroeconomics; entrepreneurship and venture capital."""
Research,"""Independent investigation of selected problems pertaining to thesis or dissertation. May be repeated for credit."""
Finance General Credit,"""Finance General Credit"""
Venture Lab,"""\u003cp\u003eThis course offers students an experiential learning opportunity in the venture capital industry with a focus on all aspects of the venture space, including venture capital funds, corporate venture, seed, incubators, and social venture.   A separate program within Venture Lab provides opportunities for students to intern at Venture Capital portfolio companies, where the work focus is on operational functions and product management. Following an interviewing process with host firms, if accepted, most students will be placed as an intern with a venture-related firm or portfolio company in the Chicago area, where they will work for two days each week for 10 weeks. Some students will be placed at a remote firm in another state, with limited on-site work. All students commit to complete at least 150 hours of work during the quarter, which is not compensated (but out-of-pocket expense reimbursements may be requested). A project report based on work for the firm is due at the end of the quarter. Students will meet in class only twice: during the first and last Wednesday mornings of the quarter. Course registration is by application only, which must be submitted directly to the application site approximately eight weeks before the quarter starts.  Students do not need to bid for this course, but admittance to Venture Lab is determined based on interviews with host firms and acceptance by the Professor.\u003c/p\u003e\r\n\r\n\u003cp\u003eThe course is open to 2Y, 1Y, MMM, MBAi, and EW students.\u003c/p\u003e\r\n\r\n\u003cp\u003eFor other recommended courses consult the \u003ca href=\""https://www.kellogg.northwestern.edu/programs/full-time-mba/academics/majors-pathways/venture-capital-and-private-equity-pathway.aspx\""\u003eVenture Capital Pathway\u003c/a\u003e\r\n \r\nMore information can be found on the \u003ca href=\""https://www.kellogg.northwestern.edu/research/heizer-center/academics-student-experience/venture-lab.aspx\""\u003eHeizer Center webpage\u003c/a\u003e \u003cB\u003e Registration for this course is by application only. \u003cBR\u003e Note: This course may not be dropped once the student has been matched with a host firm.\u003c/B\u003e"""
Private Equity Lab,"""\u003cp\u003eThis course offers an experiential learning opportunity in private equity. Following an interviewing process with host firms, if accepted, students will be placed as an intern with a PE firm, where they will work for two days each week for 10 weeks. A separate program within PE Lab provides opportunities for students to intern at PE portfolio companies where the work focus is on operational functions. All students commit to complete at least 150 hours of work during the quarter. Many host firms are in the Chicago area, where students are expected to work on-site two days/week, and other firms are remote, with most work completed remotely, and on-site work is usually limited to a few days during the quarter. Work is not compensated, but out-of-pocket expense reimbursements may be requested. Students meet in class only twice: during the morning of the first and last Wednesdays of the quarter. There are required readings and a project report that summarizes work completed for the PE firm, which is due at the end of the quarter. Course registration is by application only, which must be submitted directly to the application site approximately eight weeks before the quarter starts. Students do not need to bid for this course, but admittance to PE Lab is determined based on interviews with host firms and acceptance by the Professor.\u003c/p\u003e\r\n\r\n\u003cp\u003eThe course is open to 2Y, 1Y, MMM, MBAi, and EW students.\u003c/p\u003e\r\n\r\n\u003cp\u003eFor other recommended courses consult the \u003ca href=\""https://www.kellogg.northwestern.edu/programs/full-time-mba/academics/majors-pathways/venture-capital-and-private-equity-pathway.aspx\"" target=\""_blank\""\u003e\u003cB\u003ePrivate Equity Pathway\u003c/B\u003e\u003c/a\u003e. \u003c/P\u003e\r\n\r\n\u003cP\u003eMore information can be found on the \u003ca href=\""https://www.kellogg.northwestern.edu/research/heizer-center/academics-student-experience/private-equity-lab.aspx\"" target=\""_blank\""\u003e\u003cB\u003eHeizer Center webpage\u003c/B\u003e\u003c/a\u003e. \u003c/P\u003e \u003cB\u003e Registration for this course is by application only \u003cBR\u003eNote: This course may not be dropped once the student has been matched with a host firm.\u003c/B\u003e"""
Asset Management Lab,"""The Asset Management Lab is an experiential learning course that gives Kellogg students the opportunity to be placed in a quarter-long internship with a local or national asset management firm. Sponsor firms include all types of asset managers: hedge funds, mutual funds, pensions, endowments, family offices, RIAs and wealth management firms, and others. Students will be exposed to the day-to-day work of the firm and will be assigned a project of the firm\u0027s choice that generally pertains to its investment process. Students will rank their preferences but placement must be accepted by the sponsor firm and is not guaranteed. Enrollment in the course is by application only. This course may not be dropped once the student has been matched with a project or sponsor."""
Investment Banking Recruiting Prep,"""\u003cB\u003eThis course was formerly known as FINC 944-B\u003c/B\u003e\u003cBR\u003eThis course prepares first-year students for investment banking summer internship interviews by focusing principally on M\u0026A valuation and execution and capital markets financings, with particular emphasis on cash flow, cost of capital, financial statement impact, capital structure and other related technical considerations for investment bankers. The relationship between investment banking, hedge funds and private equity will also be discussed."""
Impact Investing and Sustainable Finance,"""This class will address three broad themes of impact investing today: 1) The evolution of impact investing from niche field to mainstream; 2) Exposure to a broad spectrum of impact investment strategies; 3) Learn the tools, models and frameworks behind impact investing. Each week, we bring into the classroom senior investment managers of leading sustainable and impact investment firms to illustrate how their strategies generate and deliver impact.\r\n \r\nThe backbone of the class is an experiential team project that will invite students to create a financial vehicle (e.g. investment firm, fund or instrument) capable of fitting within an asset allocation of institutional investor portfolios (public equities, fixed income, hard assets, private equities, alternative assets, etc.) while delivering social \u0026 environmental impact. In some cases, these class projects have wound up coming to fruition and are in the market today.\""\r\n\r\n\u003cb\u003eFINC-431 or equivalent (FINC-435 or FINC-440) may be taken concurrently to satisfy this prerequisite. Once you register for FINC-431, you may request a pre-requisite waiver from the registrar to be able to bid on FINC 946 in a subsequent phase of bidding.\u003c/b\u003e"""
Private Equity Deep Dive,"""\u003cp\u003eThe PE Deep Dive course is an opportunity to equip students with the tools, skills, and knowledge to shape the future of private equity from the point of view of practitioners in the day-to-day business. The goal of the PE Deep Dive Course is to:\u003c/p\u003e\r\n\u003cul\u003e\r\n\u003cli\u003eSupercharge careers of students with prior PE experience\u003c/li\u003e\r\n\u003cli\u003eEmpower exceptional individuals with non-traditional backgrounds to succeed in private markets\u003c/li\u003e\r\n\u003cli\u003eStrengthen pathways for talent with operating background to access the broad PE ecosystem\u003c/li\u003e\r\n\u003cli\u003eProvide learning from those in leading position in PE driving the industry forward\u003c/li\u003e\r\n\u003cli\u003eInstill in students the values, ethical decision-making, and management abilities that make distinctive PE leaders\r\n\u003cli\u003eFoster thought leadership and knowledge sharing by bringing together experts, industry leaders and participants, and members of the public\u003c/li\u003e\r\n\u003cli\u003eEducate the public on the uses of PE for the economy and societal good\u003c/li\u003e\r\n\u003c/ul\u003e\r\n\u003cp\u003eAfter the course students will be able to categorize the discussions and in \u003cem\u003efour\u003c/em\u003e different buckets: \u003cem\u003eFund Management and the GP-LP relationship, Doing Deals, Managing PE Investments\u003c/em\u003e, Evolution of the PE Industry, Future Challenges, and the Role of Impact Investing.\u003c/p\u003e\r\n\u003cp\u003eJose Liberti will be Faculty Course Coordinator while the industry leaders/practitioners presenting in the class will be: Chris Ackerman (Flexpoint), John Carroll (Summit Partners), Alex Emery (Permira), Scott Gwilliam (Keystone Capital),  Kip Kirkpatrick (Vistria), Gordon Pan (Baird Capital), David Schnadig (Cortec Group), Roy Seiders (Yeti Founder), David Seligman (Kirkland \u0026 Ellis), Michael Smith (Ares Capital), Tim Sullivan (Madison Dearborn), and Elizabeth Traxler (Neuberger Berman). \u003cem\u003ePlease see the course syllabus for a session-by-session breakdown of topics and speakers.\u003c/em\u003e\u003c/p\u003e\r\n\u003cp\u003e\r\nThe course is mandatory to APEX students. Other interested students may have the opportunity to join via an application process. That application can be found \u003ca href=\""https://kellogg.qualtrics.com/jfe/form/SV_dniQJMR55gh4zci\""\u003ehere\u003c/a\u003e. No auditors allowed.\r\n\u003c/p\u003e\r\n\u003cp\u003e\u003cb\u003eWhile this class has formal pre-requisites, those with a strong background in investment banking or private equity, and/or the necessary prior experiences required to participate in high-level private equity discussions, are encouraged to apply.\u003c/b\u003e\r\n\u003c/p\u003e"""
"Keeping it all in the Family: Growing, Financing, and Managing Family Firms","""Most companies around the world are owned or controlled by their founding families.  The subject of the course is these firms in their different forms: private family firms, closely held firms, family offices and family investment offices.  The course explores the unique finance, legal, governance and management issues faced by family firms, and ways in which these issues can be addressed. The course provides students interested in founding, owning, managing, investing in, or partnering with such firms with a framework for analyzing how family ownership and control affect value, and how this value is created and allocated to the various stakeholders of the firm.  The course specifically focuses on the financial, legal and corporate governance aspects of family control and their managerial implications. \r\n\r\nThe topics in the course include: family ownership, control and management affecting firm-value; legal standards of valuation (fair value vs. fair market value); shareholder agreements and bylaws; control-enhancing mechanisms, including dual-stock structures, pyramidal structures, board representation; families partnering with strategic investors, financial investors, employers and public shareholders; legal and governance structures; family succession planning, estate planning (gits, wills, trusts and estates); formulating optimal plans for transferring control, and the organizational design of family offices and family investment offices.\r\n\r\n\r\n\u003cp\u003eIf a student does \u003cstrong\u003e\u003cu\u003enot\u003c/u\u003e\u003c/strong\u003e meet the prerequisite requirements, s/he may take this course \u003cstrong\u003e\u003cu\u003eonly\u003c/u\u003e\u003c/strong\u003e if the permission of the instructor is given. An understanding of financial options will be assumed.\u003c/p\u003e"""
Private Equity and Distressed Investing,"""The COVID-19 crisis has impaired the ability of many corporate borrowers and countries to make payments under their debt obligations. Private equity and hedge fund can use debt as a strategic tool to create value for their investors through access to cheaper and more flexible debt financing; expertise in restructuring debt contracts; and access to more stable financing. The course is structured around the mechanisms of value creation through debt including deal structuring, debt restructuring, tax rules applicable to debt restructuring in different jurisdictions, investing in corporate and sovereign debt and distressed assets in general. Understanding how syndicate constituency, secondary market trading, and market conditions influence the renegotiation process requires in-depth understanding of debt markets and the legal aspects of restructuring. The overall theme is to restructure turn-around investments in overleveraged and troubled companies. Topics include: investment strategies pursued by PE investors including purchase of distressed assets, assets fire sales and taking control of the restructuring plan; loan-to-loan vs. loan-to-own investment strategies; vulture investors and the fulcrum security; dual role of PE investors as a financial sponsor and having a \""say\"" in the reorganization plan; amended plans and the role of unsecured creditors; and sovereign debt bankruptcy provisions (i.e., collective action clauses, cross-default, pari-passu and rights upon future offer).\r\n\r\n\u003cp\u003eIf a student does \u003cstrong\u003e\u003cu\u003enot\u003c/u\u003e\u003c/strong\u003e meet the prerequisite requirements, s/he may take this course \u003cstrong\u003e\u003cu\u003eonly\u003c/u\u003e\u003c/strong\u003e if the permission of the instructor is given. An understanding of financial options will be assumed.\u003c/p\u003e"""
Inefficient Markets,"""This goal of this course is to expose driven, inquisitive students to real-life examples of inefficiency in the public financial markets and build up a framework for thinking about the drivers of these inefficiencies.  Students will explore how hedge funds evaluate these opportunities and capitalize on them to drive returns for their investors.  The course will help students understand the concept of arbitrage and the limits of arbitrage opportunities.   There will be a particular focus on asking why outsized returns exist in specific cases of market inefficiency.  Students will be exposed to a myriad of potential root causes including counterparty risk, liquidity risk and investor segmentation.  Through the course, students will learn how to price and evaluate a wide variety of financial instruments including depository receipts, credit default swaps, convertible bonds and distressed debt. The aim of the course is to give students several examples of bona fide market inefficiency and give them the tools to assess (and potentially capitalize on) future market opportunities in real-time"""
Strategic Financial Planning and Wealth Management,"""This course is a hands-on, problem-solving-based introduction to the questions, concepts, analytical tools, and financial instruments useful for financial planning. We teach financial planning from the perspective of the life-cycle model of consumption, where individuals wish to smooth consumption over their lifetimes, while at the same time achieve a set of financial goals. From this perspective, we address the most pressing questions any financial plan will face. The first question is how do individual preferences impact the optimal level of consumption and savings over the lifecycle. This leads naturally to an understanding of â€œrules-of-thumbâ€ regarding any individualâ€™s progress towards successful implementation of a financial plan and in particular, whether an individualâ€™s savings are consistent with the individualâ€™s goals. The second question is whether an individual has identified, measured, and managed the risks faced by all financial plans. This provides guidance on what risks one should bear and which risks should be hedged or insured against. The third question is whether the wealth one amasses will be sufficient to accomplish oneâ€™s long-term goals. We address this in an environment where not only are investment rates of return random, but so too are the lengths of realized planning horizons (lifetimes). The fourth question is how particular financial instruments (e.g. annuities, insurance, reverse mortgages) can be used to address the uncertainty surrounding planning horizons. Finally, we identify the common â€œpitfallsâ€ observed in financial planning as well as the practical challenges to getting help with achieving oneâ€™s financial goals. The course is designed for students with or without a financial industry background, who may be interested in pursuing careers in wealth management, or who simply wish to gain appreciation for the real-world practical difficulties one faces in accomplishing oneâ€™s lifetime financial goals."""
FinTech and Society,"""Since the Great Recession, financial intermediation has undergone a dramatic change, with disruptive and lightly regulated technology entrants (FinTechs) competing with traditional banks in every aspect of their business, and even launching financial products that had not existed before. This course explores the opportunities and challenges at the intersection of finance, technology, and regulation, and assesses their impact on broader society.\r\n\r\nWe aim to develop an understanding of the broad landscape of FinTech, including the use of blockchain technology for cryptocurrencies and DeFi,  as well as disruptive innovations in the areas of real estate, asset management, payments, and lending to businesses and households. The course aims to develop tools used to evaluate the profitability of FinTech opportunities from the perspective of the financial product markets, competition, regulation, and funding, and the role that technology plays in overcoming challenges faced by incumbents.  We will also evaluate the role of FinTech in promoting financial inclusion - access to cheap and efficient financial services to the underbanked population, and its ability to alleviate or exacerbate the problem of discrimination in the financial sector. This approach will allow students to evaluate Fintech opportunities from the perspective of their own value system."""
Venture Investing,"""This course provides an overview of venture capital and the VC investment process. The course covers the basics of startup venture evaluation and how VCs use qualitative and quantitative information to prepare forecasts, value companies, and assess risk. It also introduces basic term sheets and investment structures. The course is aimed primarily at people who may be involved in an entrepreneurial venture at some point in their careers or are interested in venture capital careers. The course is only offered in the San Francisco immersion program"""
Advanced Topics in Venture Investing,"""This advanced course builds on the introductory concepts covered in FINC445 and provides a deep-dive into how VCs evaluate potential startup investments and subsequently manage those investments. We use recent deal flow from Bay Area VC funds as the basis for class discussion, with the participation of the involved VCs and entrepreneurs, who will join us in class for the analysis and discussion. The course provides a unique window into the activity and decision processes used by VC funds on a daily basis. The primary perspective of the course is that of the venture capitalist in assembling and evaluating information, preparing forecasts, assessing risks, developing and negotiating investment structure and terms, and deciding whether to invest. Cases also touch on management and financial problems and policy issues, and the relationship between venture capitalists and entrepreneurs. The secondary perspective is that of the entrepreneur and the techniques and skills employed in managing growing enterprises. The course employs a flipped classroom approach, whereby significant preparation is completed outside the classroom prior to the course sessions, such that we can focus on in-depth discussion for the full class period. The course is aimed at students who are considering a career in the entrepreneurial sector, including those who wish to start new ventures, join new and growing organizations, or to work in the venture capital or related industry. The course is only offered in the San Francisco immersion program."""
General Elective Credit,
Biomedical Marketing,"""The Biomedical Marketing course will give you introduction to marketing in the enormous biomedical industry. The course explores how core marketing concepts like segmentation, targeting, positioning, pricing and new business strategy play out in the complex world of healthcare. In terms of scope, the material includes marketing to providers, physicians, patients, payers and politicians. \r\n\r\nThe course is ideal for students who plan to go into the medical device and pharmaceutical industries, and for students headed to consulting or with an interest in this fast moving arena. Students who have healthcare experience and students new to healthcare will both find the course interesting and thought-provoking.\r\n\r\nThe course includes lectures, case studies, guest speakers and student presentations. Assignments include two short-written essays. The main deliverable is a final project: students analyze a recent new product launch in the industry, and this culminates with a presentation and paper. There is also a final exam."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member. This course is for 1 credit unit.\r\n\r\nPlease note: Professor Pete McNerney also oversees Healthcare Entrepreneurship projects under this course title."""
Field Study,"""Independent Study"""
Independent Study,""""""
Independent Study,"""Independent Study"""
Medical Technology Financing and Commercialization,"""This course offers students an experiential learning opportunity to work directly in the commercialization and fundraising process for innovative, pre-commercial medical technologies, to include devices, diagnostics, services and software solutions. The insights from this hands-on course will be most beneficial to students with an interest in entrepreneurship, start-ups, product design, early stage financing and product marketing.\r\n\r\nStudents will be placed on three-to-four member teams based on their skills, experience and project interests. Each team will function as members of the executive team working with select Northwestern tech transfer companies curated by Northwestern\u0027s INVO (Innovation and New Ventures Office). Each company will present their technology on the first day of class, after which students will rank their top choices and will be matched by the faculty to meet top preferences. Once matched, students will work with their respective companies to build a complete investor deck that will be delivered to a panel of industry and finance experts at the end of the quarter. Each class includes a faculty lecture and guest lecture in an effort to bring real world experiences and perspectives to each topic. Since its inception, this course has produced companies that competed in and won prestigious business plan competitions. It has also graduated several technologies/companies that are now FDA cleared and commercially available.\r\n\r\n\u003cp\u003e\u003cstrong\u003eNote: This course may not be dropped after the first week of the quarter.\u003c/strong\u003e\u003c/p\u003e"""
NUVention: Medical Innovation I,"""\u003cp\u003e\u003cstrong\u003e**HCAK-615 can be a one-quarter course but is designed ideally as a two-quarter sequence in conjunction with HCAK-616**\u003c/strong\u003e\u003c/p\u003e\r\n\r\nNUvention Medical is designed as a two-term course to provide students with real-world experience as an innovator and entrepreneur in the rapidly evolving fields of health care devices and heath technology. Taught by a team of experienced healthcare entrepreneurs, innovators, and medical practitioners, the overall course goal is to develop an in-depth business plan, investor presentation, and viable product prototype for a new medical startup firm. To navigate the complex healthcare landscape, students form cross-disciplinary teams (including at least one student from Kellogg, Feinberg, McCormick, and Pritzker) to conceive of and identify an innovative new healthcare product and work to evaluate the opportunity with support from leading industry guest lecturers and direct mentoring from experience faculty advisors.\r\n\r\nIn the fall term, COVID-permitting, student teams will shadow healthcare practitioners in the hospital to explore unmet market needs, work to understand important market opportunities from a risk-based perspective, use design thinking principles to conceive of an innovative product with a convincing value proposition, and explore many of the challenges facing health care including the regulatory and reimbursement environment. Teams then pitch their initial idea to active healthcare investors. In the winter term, the teams will work in depth to validate their customer and stakeholder assumptions, explore different revenue models, clearly understand the regulatory and reimbursement challenges and opportunities, define sales and distribution channels, and identify sources of capital. Each team is required to develop a full investor presentation backed up by a business plan and a viable prototype. Both the fall pitch and final winter investor presentation will be made to a group of experienced health care executives and investors.\r\n\r\nAfter the fall term, students will be given the choice of whether or not to continue into the winter term, and the faculty will decide which ideas are eligible to advance based on their business potential. All students with acceptable attendance and level of effort in the fall term will be permitted to continue whether their pitch idea advances or not, possibly necessitating some team modifications. Readings include text, industry articles and a few cases. Classes are held at the Law School (primarily fall), KGH (primarily winter), and the Ford design center. A number of classes will have healthcare industry leaders as guest speakers. Students are evaluated on the basis of both team and individual assignments with team assignments more heavily weighted. Grades will be awarded for each term separately.\r\n\r\nPermission from the student\u0027s school faculty representative is required to register. Students must complete the fall (I) quarter (HCAK 615) in order to be eligible for the winter (II) quarter (HCAK 616), and will earn 1.0 credit for each term completed. Students in the 2 Year Full Time program and the Evening \u0026 Weekend program must have completed one full year. Students in the 1 Year program need to have completed the summer quarter."""
